file,canonical,decision,reason
po_crps_hm04_t.tga,po_crps_hm04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_crps_hm17_t.tga,po_crps_hm17_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_crps_ht04_t.tga,po_crps_ht04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain01_t.tga,po_curtain01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain02_m.tga,po_curtain02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain02_s.tga,po_curtain02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain02_t.tga,po_curtain02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain03_m.tga,po_curtain03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain03_s.tga,po_curtain03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain03_t.tga,po_curtain03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain04_s.tga,po_curtain04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain04_t.tga,po_curtain04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain05_s.tga,po_curtain05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain05_t.tga,po_curtain05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain06_m.tga,po_curtain06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain06_s.tga,po_curtain06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain06_t.tga,po_curtain06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain07_m.tga,po_curtain07_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain07_s.tga,po_curtain07_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain07_t.tga,po_curtain07_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain08_s.tga,po_curtain08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain08_t.tga,po_curtain08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain09_s.tga,po_curtain09_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain09_t.tga,po_curtain09_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain10_s.tga,po_curtain10_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtain10_t.tga,po_curtain10_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino01_m.tga,po_curtaino01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino01_s.tga,po_curtaino01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino01_t.tga,po_curtaino01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino02_s.tga,po_curtaino02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino02_t.tga,po_curtaino02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino03_m.tga,po_curtaino03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino03_s.tga,po_curtaino03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino03_t.tga,po_curtaino03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino04_s.tga,po_curtaino04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino04_t.tga,po_curtaino04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino05_m.tga,po_curtaino05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino05_s.tga,po_curtaino05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino05_t.tga,po_curtaino05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino06_m.tga,po_curtaino06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino06_s.tga,po_curtaino06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino06_t.tga,po_curtaino06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino07_m.tga,po_curtaino07_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino07_s.tga,po_curtaino07_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino07_t.tga,po_curtaino07_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino08_m.tga,po_curtaino08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino08_s.tga,po_curtaino08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino08_t.tga,po_curtaino08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_curtaino10_s.tga,po_curtaino10_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dbrlb2_s.tga,po_dbrlb2_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dbrlb2_t.tga,po_dbrlb2_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dbrlb3_s.tga,po_dbrlb3_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dbrlb3_t.tga,po_dbrlb3_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dbrlb4_s.tga,po_dbrlb4_m.tga,flip,visual review of structural asymmetry
po_dbrlb4_t.tga,po_dbrlb4_m.tga,flip,visual review of structural asymmetry
po_dcp01_s.tga,po_dcp01_m.tga,flip,visual review of structural asymmetry
po_dcp01_t.tga,po_dcp01_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp02_t.tga,po_dcp02_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp03_s.tga,po_dcp03_m.tga,flip,visual review of structural asymmetry
po_dcp03_t.tga,po_dcp03_m.tga,flip,visual review of structural asymmetry
po_dcp04_s.tga,po_dcp04_m.tga,flip,visual review of structural asymmetry
po_dcp04_t.tga,po_dcp04_m.tga,flip,visual review of structural asymmetry
po_dcp102_t.tga,po_dcp102_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp104_s.tga,po_dcp104_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp104_t.tga,po_dcp104_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp18_t.tga,po_dcp18_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp19_t.tga,po_dcp19_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp21_s.tga,po_dcp21_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp21_t.tga,po_dcp21_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp26_t.tga,po_dcp26_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp33_t.tga,po_dcp33_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp34_t.tga,po_dcp34_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp35_t.tga,po_dcp35_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp43_t.tga,po_dcp43_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp44_t.tga,po_dcp44_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp46_s.tga,po_dcp46_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp46_t.tga,po_dcp46_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp48_t.tga,po_dcp48_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp49_t.tga,po_dcp49_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp52_t.tga,po_dcp52_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp55_t.tga,po_dcp55_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp60_s.tga,po_dcp60_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp60_t.tga,po_dcp60_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp63_t.tga,po_dcp63_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp73_s.tga,po_dcp73_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp73_t.tga,po_dcp73_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp75_t.tga,po_dcp75_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp76_t.tga,po_dcp76_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp82_s.tga,po_dcp82_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp82_t.tga,po_dcp82_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp85_t.tga,po_dcp85_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp86_t.tga,po_dcp86_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp87_t.tga,po_dcp87_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp88_s.tga,po_dcp88_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp88_t.tga,po_dcp88_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp89_t.tga,po_dcp89_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp96_s.tga,po_dcp96_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp96_t.tga,po_dcp96_m.tga,flip,visual review of structural asymmetry
po_dcp97_t.tga,po_dcp97_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp99_s.tga,po_dcp99_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcp99_t.tga,po_dcp99_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain001_t.tga,po_dcurtain001_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain002_t.tga,po_dcurtain002_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain003_s.tga,po_dcurtain003_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain003_t.tga,po_dcurtain003_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain004_s.tga,po_dcurtain004_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain004_t.tga,po_dcurtain004_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain005_t.tga,po_dcurtain005_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain009_t.tga,po_dcurtain009_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain011_t.tga,po_dcurtain011_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain012_s.tga,po_dcurtain012_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain012_t.tga,po_dcurtain012_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain014_s.tga,po_dcurtain014_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain014_t.tga,po_dcurtain014_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain015_s.tga,po_dcurtain015_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain015_t.tga,po_dcurtain015_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain017_t.tga,po_dcurtain017_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain019_t.tga,po_dcurtain019_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain020_s.tga,po_dcurtain020_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain020_t.tga,po_dcurtain020_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain022_s.tga,po_dcurtain022_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain022_t.tga,po_dcurtain022_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain024_t.tga,po_dcurtain024_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain025_t.tga,po_dcurtain025_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain030_t.tga,po_dcurtain030_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain037_t.tga,po_dcurtain037_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain041_t.tga,po_dcurtain041_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain046_t.tga,po_dcurtain046_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain050_t.tga,po_dcurtain050_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain055_t.tga,po_dcurtain055_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain056_t.tga,po_dcurtain056_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain057_t.tga,po_dcurtain057_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain058_t.tga,po_dcurtain058_l.tga,flip,visual review of structural asymmetry
po_dcurtain060_s.tga,po_dcurtain060_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain060_t.tga,po_dcurtain060_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain062_t.tga,po_dcurtain062_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain063_s.tga,po_dcurtain063_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain063_t.tga,po_dcurtain063_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain064_s.tga,po_dcurtain064_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain064_t.tga,po_dcurtain064_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain065_t.tga,po_dcurtain065_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain066_t.tga,po_dcurtain066_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain067_s.tga,po_dcurtain067_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dcurtain067_t.tga,po_dcurtain067_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dmvrock2_t.tga,po_dmvrock2_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dplt1b1_s.tga,po_dplt1b1_m.tga,flip,visual review of structural asymmetry
po_dplt1b1_t.tga,po_dplt1b1_m.tga,flip,visual review of structural asymmetry
po_dplt1b2_s.tga,po_dplt1b2_m.tga,flip,visual review of structural asymmetry
po_dplt1b2_t.tga,po_dplt1b2_m.tga,flip,visual review of structural asymmetry
po_dplt1b3_s.tga,po_dplt1b3_m.tga,flip,visual review of structural asymmetry
po_dplt1b3_t.tga,po_dplt1b3_m.tga,flip,visual review of structural asymmetry
po_dplt2b2_s.tga,po_dplt2b2_m.tga,flip,visual review of structural asymmetry
po_dplt2b2_t.tga,po_dplt2b2_m.tga,flip,visual review of structural asymmetry
po_dplt2b3_s.tga,po_dplt2b3_m.tga,flip,visual review of structural asymmetry
po_dplt2b3_t.tga,po_dplt2b3_m.tga,flip,visual review of structural asymmetry
po_dppru4_s.tga,po_dppru4_m.tga,flip,visual review of structural asymmetry
po_dppru4_t.tga,po_dppru4_m.tga,flip,visual review of structural asymmetry
po_droF10_M.tga,po_droF10_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF10_S.tga,po_droF10_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF10_T.tga,po_droF10_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF4_M.tga,po_droF4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF4_S.tga,po_droF4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF4_T.tga,po_droF4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF6_L.tga,po_droF6_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF6_M.tga,po_droF6_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF6_S.tga,po_droF6_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF6_T.tga,po_droF6_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF7_L.tga,po_droF7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF7_M.tga,po_droF7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF7_S.tga,po_droF7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF7_T.tga,po_droF7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF8_L.tga,po_droF8_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF8_M.tga,po_droF8_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF8_S.tga,po_droF8_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droF8_T.tga,po_droF8_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM1_M.tga,po_droM1_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM1_S.tga,po_droM1_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM1_T.tga,po_droM1_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM3_L.tga,po_droM3_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM3_M.tga,po_droM3_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM3_S.tga,po_droM3_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM3_T.tga,po_droM3_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM4_L.tga,po_droM4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM4_M.tga,po_droM4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM4_S.tga,po_droM4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM4_T.tga,po_droM4_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM5_L.tga,po_droM5_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM5_M.tga,po_droM5_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM5_S.tga,po_droM5_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM5_T.tga,po_droM5_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM7_M.tga,po_droM7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM7_S.tga,po_droM7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_droM7_T.tga,po_droM7_H.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_dstlb1_s.tga,po_dstlb1_m.tga,flip,visual review of structural asymmetry
po_dstlb1_t.tga,po_dstlb1_m.tga,flip,visual review of structural asymmetry
po_dstlu2_t.tga,po_dstlu2_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_elemrad_m.tga,po_elemrad_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_elemrad_s.tga,po_elemrad_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_elemrad_t.tga,po_elemrad_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_el_f_517_t.tga,po_el_f_517_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_el_f_518_t.tga,po_el_f_518_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_el_m_505_t.tga,po_el_m_505_h.tga,flip,visual review of structural asymmetry
po_ewokM3_t.tga,po_ewokM3_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_flbed01_t.tga,po_flbed01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_flbed02_t.tga,po_flbed02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_flbed03_s.tga,po_flbed03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_flbed03_t.tga,po_flbed03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_flbed04_t.tga,po_flbed04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_flbed05_t.tga,po_flbed05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_fplanetar_t.tga,po_fplanetar_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gichair01_t.tga,po_gichair01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gicolmn01_t.tga,po_gicolmn01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gicolmn02_s.tga,po_gicolmn02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gicolmn02_t.tga,po_gicolmn02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gifpot01_s.tga,po_gifpot01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gifpot01_t.tga,po_gifpot01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gifpot02_t.tga,po_gifpot02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gifpot03_t.tga,po_gifpot03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gifpot06_s.tga,po_gifpot06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gifpot06_t.tga,po_gifpot06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gilight01_s.tga,po_gilight01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gilight01_t.tga,po_gilight01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gilight02_m.tga,po_gilight02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gilight02_s.tga,po_gilight02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gilight02_t.tga,po_gilight02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gilight03_t.tga,po_gilight03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gilight04_t.tga,po_gilight04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_gipict08_s.tga,po_gipict08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
